Andrija Živković,16,2,3,77,80,28,28,34,52,77,73,33,70,68,70,71,66,87,86,64,39,88,86,57,43,74,70,69,82,65,60,68,76
Karim Ansarifard,25,4,3,76,75,29,38,40,66,75,73,54,52,77,58,58,50,79,79,72,41,69,69,73,70,78,74,66,63,53,61,71,73
Kim Min Jae,0,2,2,42,36,60,62,59,70,55,32,64,54,35,26,53,42,60,55,57,73,60,41,76,60,31,23,16,21,23,30,24,63
Leon Balogun,0,3,2,62,60,70,76,75,75,68,49,75,47,72,69,69,64,67,77,75,84,53,55,75,78,70,30,60,59,38,39,32,75
Wilfried Zaha,16,3,4,86,87,36,34,30,68,73,73,23,72,75,78,71,63,89,89,78,72,82,86,50,43,75,74,60,54,51,66,51,80
Magnus Eriksson,17,2,3,66,65,30,34,54,84,74,67,49,72,71,69,68,67,62,55,81,72,78,67,73,57,76,63,69,68,66,56,70,68
Kasper Hämäläinen,25,3,3,70,65,40,46,48,48,71,75,52,75,72,59,70,63,74,80,65,69,63,70,65,73,69,71,68,65,34,52,65,72
Dmitriy Poloz,25,3,3,76,75,15,20,13,63,73,73,32,68,61,72,74,69,76,79,72,68,75,78,68,67,72,77,73,69,68,77,69,75
Dieumerci Ndongala,17,3,4,73,78,18,24,29,49,68,64,38,64,69,73,65,54,89,83,78,42,89,87,86,40,60,52,54,68,57,54,64,72
Jens van Son,0,3,2,60,58,65,61,62,65,62,36,61,49,44,51,62,61,59,50,70,65,60,68,65,66,52,40,32,44,39,51,40,63
Jérémy Sorbon,0,3,2,64,30,79,72,80,75,71,42,77,52,61,60,66,56,38,49,51,72,68,48,63,73,43,25,30,40,34,39,25,75
Juan Imbert,9,4,2,60,67,44,45,55,46,68,64,57,62,56,52,60,63,82,76,68,66,64,76,66,57,55,59,52,43,46,53,53,63
Marek Wasiluk,0,2,2,44,45,63,76,62,51,48,48,76,34,25,63,46,59,52,55,87,86,34,52,33,73,68,29,63,29,57,34,29,66
Batraz Khadartsev,16,3,3,67,68,33,35,38,33,48,65,32,48,56,67,69,57,73,77,48,60,76,74,44,49,64,61,62,54,48,65,53,65
Fahad Al Abdulrahman,3,3,2,65,68,65,63,62,59,57,45,58,51,58,58,58,53,80,70,66,36,92,85,81,33,49,22,34,49,34,33,31,63
Jorge Hernández,7,3,2,72,66,69,69,70,84,69,56,72,69,72,64,73,70,67,71,89,68,74,68,81,56,74,49,69,71,63,69,71,73
Lévy Madinda,7,3,2,70,68,57,67,70,72,61,62,71,69,67,40,70,64,72,66,71,78,69,71,91,54,79,44,59,54,48,49,40,69
Bartłomiej Sielewski,0,3,3,54,47,48,45,48,72,55,48,55,49,51,36,52,53,47,48,48,83,64,55,65,57,51,31,36,30,32,52,47,57
Carlos Arboleda,17,3,3,66,69,68,63,66,67,76,60,68,61,62,75,65,62,86,91,83,33,93,88,91,40,58,47,52,57,44,41,46,71
Jorris Romil,25,3,2,64,63,17,17,13,48,60,57,13,50,51,39,56,37,76,75,60,57,58,67,66,58,63,64,57,47,48,59,48,63
Juan David Valencia,16,4,2,65,61,57,64,67,59,67,70,71,60,61,68,61,65,76,77,72,73,67,68,69,53,74,45,70,66,73,31,32,68
Fabián,7,3,3,75,70,49,55,63,47,61,65,56,74,46,60,75,72,52,55,45,42,47,60,54,61,57,66,72,70,59,70,52,70
Guto Costinho,18,3,4,73,76,47,49,52,43,63,59,50,73,51,52,62,52,73,59,69,51,60,72,55,52,63,51,55,45,61,53,47,67
Anton Krešić,7,3,2,42,31,63,65,70,53,52,34,63,32,51,28,39,29,63,59,62,75,35,46,71,64,41,41,28,35,30,43,35,64
Alexander Juel Andersen,0,3,2,62,59,60,62,65,74,52,58,70,45,63,61,64,58,80,83,75,69,58,64,70,54,50,52,42,43,37,45,43,66
Mohamed Fares,3,2,3,68,69,34,39,35,40,60,54,25,50,56,68,66,60,74,80,74,70,60,75,54,58,68,58,62,69,48,64,58,66
Evgeniy Chernov,16,3,2,61,56,55,59,63,37,58,54,60,61,40,67,66,64,67,71,66,62,70,65,49,48,55,33,43,62,52,49,51,63
Daniel Vicencio,0,3,2,45,51,66,65,68,54,61,48,60,36,61,25,55,52,62,62,62,71,66,54,90,71,31,17,18,21,25,38,28,66
