Amobi Okugo,0,3,2,62,58,63,61,62,78,63,60,66,56,64,40,66,56,75,77,75,71,71,73,80,62,69,52,59,57,53,52,43
Julio Álvarez,1,4,3,71,69,22,25,41,56,59,64,39,77,69,81,71,73,54,58,33,59,68,59,57,53,71,65,76,77,80,82,48
Scot Bennett,0,3,2,49,39,56,57,58,56,56,44,55,41,48,36,44,42,43,49,70,61,49,45,59,58,48,37,42,33,30,39,46
Nicolas Maurice-Belay,1,3,3,75,75,46,27,52,57,72,74,56,75,71,76,75,70,75,79,63,73,69,74,59,59,73,65,67,63,57,72,65
Aminu Umar,1,3,3,78,80,21,54,60,78,70,74,66,68,72,66,72,62,90,88,70,66,83,88,62,45,75,67,71,59,47,53,54
Jeong Dong Yun,0,4,2,55,41,57,58,61,48,59,50,53,44,46,63,60,57,64,65,66,68,58,62,55,44,35,27,26,44,48,52,23
Siem de Jong,1,4,2,78,73,47,55,60,64,79,78,60,75,79,63,76,77,66,64,83,74,60,67,80,82,80,77,80,66,69,72,81
Lassana Coulibaly,0,3,3,67,63,53,56,64,64,61,52,63,62,50,42,70,65,74,78,74,70,77,76,65,64,61,58,53,52,42,49,44
Abraham,1,2,2,72,71,66,72,69,80,64,63,71,66,66,72,68,58,73,76,76,75,74,74,69,57,69,41,58,76,56,57,36
Danzell Gravenberch,0,3,2,64,60,61,58,65,75,60,51,63,46,48,45,57,32,72,79,55,89,60,61,62,48,74,55,60,55,36,58,46
Camilo Ceballos,0,3,2,44,22,71,58,74,54,66,29,61,37,66,24,55,47,45,33,46,73,66,62,62,66,42,26,23,29,31,38,23
Samuel Eduok,1,3,2,67,70,31,35,26,57,62,64,18,58,52,63,65,60,76,76,68,67,79,76,60,58,69,63,65,60,52,61,59
Federico Milo,0,3,2,59,65,64,62,68,54,61,39,60,31,48,62,48,59,71,66,73,69,65,60,71,59,40,30,29,28,36,42,34
Venanzio Meirás,1,4,3,72,64,32,41,37,38,68,75,47,73,74,56,69,68,44,55,54,59,59,53,58,57,62,68,72,73,70,72,71
Alexander González,1,4,3,70,74,59,55,60,73,64,69,65,60,66,70,66,63,83,84,78,74,72,76,91,52,68,67,64,63,65,62,60
Patryk Tuszyński,1,3,2,66,66,33,38,33,32,64,64,38,53,60,58,65,54,69,68,62,70,59,61,62,64,68,65,60,43,42,68,52
Rúben Ferreira,0,3,2,74,72,64,73,75,80,76,68,67,65,62,81,72,65,76,68,90,60,63,75,75,60,74,50,70,74,76,49,30
Antonio Mazzotta,0,2,2,64,61,64,67,67,71,68,49,64,36,65,65,64,60,75,74,77,62,73,63,62,60,64,27,59,63,44,67,63
Danny,1,4,4,82,83,23,32,33,73,76,78,41,82,83,73,82,80,83,83,72,56,75,84,70,47,71,75,73,82,72,67,68
Rigino Cicilia,1,3,2,63,58,20,19,21,50,58,59,14,47,56,33,55,43,67,75,55,86,34,52,70,68,63,60,62,47,33,61,52
Sonny Bradley,0,3,2,48,38,61,58,60,76,50,27,60,43,47,36,55,46,64,52,71,75,36,59,67,60,35,29,27,20,22,19,17
Taras Mykhalyk,0,3,2,62,55,72,75,71,75,65,33,74,48,68,60,77,72,52,66,74,80,57,62,70,70,47,46,52,54,42,47,46
Dion Conroy,0,3,2,48,36,55,62,60,43,45,28,51,32,56,27,51,54,55,55,62,60,52,45,57,62,40,16,24,21,30,34,21
Furkan Şimşek,1,3,2,65,66,27,31,34,41,49,54,18,49,53,59,56,53,60,60,49,57,67,61,56,50,76,64,41,49,46,60,48
Cedric Itten,1,2,2,65,53,22,30,30,31,58,65,29,55,56,35,57,46,64,59,65,66,61,56,65,64,51,63,55,36,34,66,42
